text,number,input_seq,target,input_seq_padded
five thousand nine hundred and twenty seven,5927,"[5, 1000, 9, 100, 0, 20, 7]",5927.0,"[5, 1000, 9, 100, 0, 20, 7]"
five thousand nine hundred and twenty eight,5928,"[5, 1000, 9, 100, 0, 20, 8]",5928.0,"[5, 1000, 9, 100, 0, 20, 8]"
five thousand nine hundred and twenty nine,5929,"[5, 1000, 9, 100, 0, 20, 9]",5929.0,"[5, 1000, 9, 100, 0, 20, 9]"
five thousand nine hundred and thirty,5930,"[5, 1000, 9, 100, 0, 30]",5930.0,"[5, 1000, 9, 100, 0, 30, 0]"
five thousand nine hundred and thirty one,5931,"[5, 1000, 9, 100, 0, 30, 1]",5931.0,"[5, 1000, 9, 100, 0, 30, 1]"
five thousand nine hundred and thirty two,5932,"[5, 1000, 9, 100, 0, 30, 2]",5932.0,"[5, 1000, 9, 100, 0, 30, 2]"
five thousand nine hundred and thirty three,5933,"[5, 1000, 9, 100, 0, 30, 3]",5933.0,"[5, 1000, 9, 100, 0, 30, 3]"
five thousand nine hundred and thirty four,5934,"[5, 1000, 9, 100, 0, 30, 4]",5934.0,"[5, 1000, 9, 100, 0, 30, 4]"
five thousand nine hundred and thirty five,5935,"[5, 1000, 9, 100, 0, 30, 5]",5935.0,"[5, 1000, 9, 100, 0, 30, 5]"
five thousand nine hundred and thirty six,5936,"[5, 1000, 9, 100, 0, 30, 6]",5936.0,"[5, 1000, 9, 100, 0, 30, 6]"
five thousand nine hundred and thirty seven,5937,"[5, 1000, 9, 100, 0, 30, 7]",5937.0,"[5, 1000, 9, 100, 0, 30, 7]"
five thousand nine hundred and thirty eight,5938,"[5, 1000, 9, 100, 0, 30, 8]",5938.0,"[5, 1000, 9, 100, 0, 30, 8]"
five thousand nine hundred and thirty nine,5939,"[5, 1000, 9, 100, 0, 30, 9]",5939.0,"[5, 1000, 9, 100, 0, 30, 9]"
five thousand nine hundred and forty,5940,"[5, 1000, 9, 100, 0, 40]",5940.0,"[5, 1000, 9, 100, 0, 40, 0]"
five thousand nine hundred and forty one,5941,"[5, 1000, 9, 100, 0, 40, 1]",5941.0,"[5, 1000, 9, 100, 0, 40, 1]"
five thousand nine hundred and forty two,5942,"[5, 1000, 9, 100, 0, 40, 2]",5942.0,"[5, 1000, 9, 100, 0, 40, 2]"
five thousand nine hundred and forty three,5943,"[5, 1000, 9, 100, 0, 40, 3]",5943.0,"[5, 1000, 9, 100, 0, 40, 3]"
five thousand nine hundred and forty four,5944,"[5, 1000, 9, 100, 0, 40, 4]",5944.0,"[5, 1000, 9, 100, 0, 40, 4]"
five thousand nine hundred and forty five,5945,"[5, 1000, 9, 100, 0, 40, 5]",5945.0,"[5, 1000, 9, 100, 0, 40, 5]"
five thousand nine hundred and forty six,5946,"[5, 1000, 9, 100, 0, 40, 6]",5946.0,"[5, 1000, 9, 100, 0, 40, 6]"
five thousand nine hundred and forty seven,5947,"[5, 1000, 9, 100, 0, 40, 7]",5947.0,"[5, 1000, 9, 100, 0, 40, 7]"
five thousand nine hundred and forty eight,5948,"[5, 1000, 9, 100, 0, 40, 8]",5948.0,"[5, 1000, 9, 100, 0, 40, 8]"
five thousand nine hundred and forty nine,5949,"[5, 1000, 9, 100, 0, 40, 9]",5949.0,"[5, 1000, 9, 100, 0, 40, 9]"
five thousand nine hundred and fifty,5950,"[5, 1000, 9, 100, 0, 50]",5950.0,"[5, 1000, 9, 100, 0, 50, 0]"
five thousand nine hundred and fifty one,5951,"[5, 1000, 9, 100, 0, 50, 1]",5951.0,"[5, 1000, 9, 100, 0, 50, 1]"
five thousand nine hundred and fifty two,5952,"[5, 1000, 9, 100, 0, 50, 2]",5952.0,"[5, 1000, 9, 100, 0, 50, 2]"
five thousand nine hundred and fifty three,5953,"[5, 1000, 9, 100, 0, 50, 3]",5953.0,"[5, 1000, 9, 100, 0, 50, 3]"
five thousand nine hundred and fifty four,5954,"[5, 1000, 9, 100, 0, 50, 4]",5954.0,"[5, 1000, 9, 100, 0, 50, 4]"
five thousand nine hundred and fifty five,5955,"[5, 1000, 9, 100, 0, 50, 5]",5955.0,"[5, 1000, 9, 100, 0, 50, 5]"
five thousand nine hundred and fifty six,5956,"[5, 1000, 9, 100, 0, 50, 6]",5956.0,"[5, 1000, 9, 100, 0, 50, 6]"
five thousand nine hundred and fifty seven,5957,"[5, 1000, 9, 100, 0, 50, 7]",5957.0,"[5, 1000, 9, 100, 0, 50, 7]"
five thousand nine hundred and fifty eight,5958,"[5, 1000, 9, 100, 0, 50, 8]",5958.0,"[5, 1000, 9, 100, 0, 50, 8]"
five thousand nine hundred and fifty nine,5959,"[5, 1000, 9, 100, 0, 50, 9]",5959.0,"[5, 1000, 9, 100, 0, 50, 9]"
five thousand nine hundred and sixty,5960,"[5, 1000, 9, 100, 0, 60]",5960.0,"[5, 1000, 9, 100, 0, 60, 0]"
five thousand nine hundred and sixty one,5961,"[5, 1000, 9, 100, 0, 60, 1]",5961.0,"[5, 1000, 9, 100, 0, 60, 1]"
five thousand nine hundred and sixty two,5962,"[5, 1000, 9, 100, 0, 60, 2]",5962.0,"[5, 1000, 9, 100, 0, 60, 2]"
five thousand nine hundred and sixty three,5963,"[5, 1000, 9, 100, 0, 60, 3]",5963.0,"[5, 1000, 9, 100, 0, 60, 3]"
five thousand nine hundred and sixty four,5964,"[5, 1000, 9, 100, 0, 60, 4]",5964.0,"[5, 1000, 9, 100, 0, 60, 4]"
five thousand nine hundred and sixty five,5965,"[5, 1000, 9, 100, 0, 60, 5]",5965.0,"[5, 1000, 9, 100, 0, 60, 5]"
five thousand nine hundred and sixty six,5966,"[5, 1000, 9, 100, 0, 60, 6]",5966.0,"[5, 1000, 9, 100, 0, 60, 6]"
five thousand nine hundred and sixty seven,5967,"[5, 1000, 9, 100, 0, 60, 7]",5967.0,"[5, 1000, 9, 100, 0, 60, 7]"
five thousand nine hundred and sixty eight,5968,"[5, 1000, 9, 100, 0, 60, 8]",5968.0,"[5, 1000, 9, 100, 0, 60, 8]"
five thousand nine hundred and sixty nine,5969,"[5, 1000, 9, 100, 0, 60, 9]",5969.0,"[5, 1000, 9, 100, 0, 60, 9]"
five thousand nine hundred and seventy,5970,"[5, 1000, 9, 100, 0, 70]",5970.0,"[5, 1000, 9, 100, 0, 70, 0]"
five thousand nine hundred and seventy one,5971,"[5, 1000, 9, 100, 0, 70, 1]",5971.0,"[5, 1000, 9, 100, 0, 70, 1]"
five thousand nine hundred and seventy two,5972,"[5, 1000, 9, 100, 0, 70, 2]",5972.0,"[5, 1000, 9, 100, 0, 70, 2]"
five thousand nine hundred and seventy three,5973,"[5, 1000, 9, 100, 0, 70, 3]",5973.0,"[5, 1000, 9, 100, 0, 70, 3]"
five thousand nine hundred and seventy four,5974,"[5, 1000, 9, 100, 0, 70, 4]",5974.0,"[5, 1000, 9, 100, 0, 70, 4]"
five thousand nine hundred and seventy five,5975,"[5, 1000, 9, 100, 0, 70, 5]",5975.0,"[5, 1000, 9, 100, 0, 70, 5]"
five thousand nine hundred and seventy six,5976,"[5, 1000, 9, 100, 0, 70, 6]",5976.0,"[5, 1000, 9, 100, 0, 70, 6]"
five thousand nine hundred and seventy seven,5977,"[5, 1000, 9, 100, 0, 70, 7]",5977.0,"[5, 1000, 9, 100, 0, 70, 7]"
five thousand nine hundred and seventy eight,5978,"[5, 1000, 9, 100, 0, 70, 8]",5978.0,"[5, 1000, 9, 100, 0, 70, 8]"
five thousand nine hundred and seventy nine,5979,"[5, 1000, 9, 100, 0, 70, 9]",5979.0,"[5, 1000, 9, 100, 0, 70, 9]"
five thousand nine hundred and eighty,5980,"[5, 1000, 9, 100, 0, 80]",5980.0,"[5, 1000, 9, 100, 0, 80, 0]"
five thousand nine hundred and eighty one,5981,"[5, 1000, 9, 100, 0, 80, 1]",5981.0,"[5, 1000, 9, 100, 0, 80, 1]"
five thousand nine hundred and eighty two,5982,"[5, 1000, 9, 100, 0, 80, 2]",5982.0,"[5, 1000, 9, 100, 0, 80, 2]"
five thousand nine hundred and eighty three,5983,"[5, 1000, 9, 100, 0, 80, 3]",5983.0,"[5, 1000, 9, 100, 0, 80, 3]"
five thousand nine hundred and eighty four,5984,"[5, 1000, 9, 100, 0, 80, 4]",5984.0,"[5, 1000, 9, 100, 0, 80, 4]"
five thousand nine hundred and eighty five,5985,"[5, 1000, 9, 100, 0, 80, 5]",5985.0,"[5, 1000, 9, 100, 0, 80, 5]"
five thousand nine hundred and eighty six,5986,"[5, 1000, 9, 100, 0, 80, 6]",5986.0,"[5, 1000, 9, 100, 0, 80, 6]"
five thousand nine hundred and eighty seven,5987,"[5, 1000, 9, 100, 0, 80, 7]",5987.0,"[5, 1000, 9, 100, 0, 80, 7]"
five thousand nine hundred and eighty eight,5988,"[5, 1000, 9, 100, 0, 80, 8]",5988.0,"[5, 1000, 9, 100, 0, 80, 8]"
five thousand nine hundred and eighty nine,5989,"[5, 1000, 9, 100, 0, 80, 9]",5989.0,"[5, 1000, 9, 100, 0, 80, 9]"
five thousand nine hundred and ninety,5990,"[5, 1000, 9, 100, 0, 90]",5990.0,"[5, 1000, 9, 100, 0, 90, 0]"
five thousand nine hundred and ninety one,5991,"[5, 1000, 9, 100, 0, 90, 1]",5991.0,"[5, 1000, 9, 100, 0, 90, 1]"
five thousand nine hundred and ninety two,5992,"[5, 1000, 9, 100, 0, 90, 2]",5992.0,"[5, 1000, 9, 100, 0, 90, 2]"
five thousand nine hundred and ninety three,5993,"[5, 1000, 9, 100, 0, 90, 3]",5993.0,"[5, 1000, 9, 100, 0, 90, 3]"
five thousand nine hundred and ninety four,5994,"[5, 1000, 9, 100, 0, 90, 4]",5994.0,"[5, 1000, 9, 100, 0, 90, 4]"
five thousand nine hundred and ninety five,5995,"[5, 1000, 9, 100, 0, 90, 5]",5995.0,"[5, 1000, 9, 100, 0, 90, 5]"
five thousand nine hundred and ninety six,5996,"[5, 1000, 9, 100, 0, 90, 6]",5996.0,"[5, 1000, 9, 100, 0, 90, 6]"
five thousand nine hundred and ninety seven,5997,"[5, 1000, 9, 100, 0, 90, 7]",5997.0,"[5, 1000, 9, 100, 0, 90, 7]"
five thousand nine hundred and ninety eight,5998,"[5, 1000, 9, 100, 0, 90, 8]",5998.0,"[5, 1000, 9, 100, 0, 90, 8]"
five thousand nine hundred and ninety nine,5999,"[5, 1000, 9, 100, 0, 90, 9]",5999.0,"[5, 1000, 9, 100, 0, 90, 9]"
six thousand,6000,"[6, 1000]",6000.0,"[6, 1000, 0, 0, 0, 0, 0]"
six thousand one,6001,"[6, 1000, 1]",6001.0,"[6, 1000, 1, 0, 0, 0, 0]"
six thousand two,6002,"[6, 1000, 2]",6002.0,"[6, 1000, 2, 0, 0, 0, 0]"
six thousand three,6003,"[6, 1000, 3]",6003.0,"[6, 1000, 3, 0, 0, 0, 0]"
six thousand four,6004,"[6, 1000, 4]",6004.0,"[6, 1000, 4, 0, 0, 0, 0]"
six thousand five,6005,"[6, 1000, 5]",6005.0,"[6, 1000, 5, 0, 0, 0, 0]"
six thousand six,6006,"[6, 1000, 6]",6006.0,"[6, 1000, 6, 0, 0, 0, 0]"
six thousand seven,6007,"[6, 1000, 7]",6007.0,"[6, 1000, 7, 0, 0, 0, 0]"
six thousand eight,6008,"[6, 1000, 8]",6008.0,"[6, 1000, 8, 0, 0, 0, 0]"
six thousand nine,6009,"[6, 1000, 9]",6009.0,"[6, 1000, 9, 0, 0, 0, 0]"
six thousand ten,6010,"[6, 1000, 10]",6010.0,"[6, 1000, 10, 0, 0, 0, 0]"
six thousand eleven,6011,"[6, 1000, 11]",6011.0,"[6, 1000, 11, 0, 0, 0, 0]"
six thousand twelve,6012,"[6, 1000, 12]",6012.0,"[6, 1000, 12, 0, 0, 0, 0]"
six thousand thirteen,6013,"[6, 1000, 13]",6013.0,"[6, 1000, 13, 0, 0, 0, 0]"
six thousand fourteen,6014,"[6, 1000, 14]",6014.0,"[6, 1000, 14, 0, 0, 0, 0]"
six thousand fifteen,6015,"[6, 1000, 15]",6015.0,"[6, 1000, 15, 0, 0, 0, 0]"
six thousand sixteen,6016,"[6, 1000, 16]",6016.0,"[6, 1000, 16, 0, 0, 0, 0]"
six thousand seventeen,6017,"[6, 1000, 17]",6017.0,"[6, 1000, 17, 0, 0, 0, 0]"
six thousand eighteen,6018,"[6, 1000, 18]",6018.0,"[6, 1000, 18, 0, 0, 0, 0]"
six thousand nineteen,6019,"[6, 1000, 19]",6019.0,"[6, 1000, 19, 0, 0, 0, 0]"
six thousand twenty,6020,"[6, 1000, 20]",6020.0,"[6, 1000, 20, 0, 0, 0, 0]"
six thousand twenty one,6021,"[6, 1000, 20, 1]",6021.0,"[6, 1000, 20, 1, 0, 0, 0]"
six thousand twenty two,6022,"[6, 1000, 20, 2]",6022.0,"[6, 1000, 20, 2, 0, 0, 0]"
six thousand twenty three,6023,"[6, 1000, 20, 3]",6023.0,"[6, 1000, 20, 3, 0, 0, 0]"
six thousand twenty four,6024,"[6, 1000, 20, 4]",6024.0,"[6, 1000, 20, 4, 0, 0, 0]"
six thousand twenty five,6025,"[6, 1000, 20, 5]",6025.0,"[6, 1000, 20, 5, 0, 0, 0]"
six thousand twenty six,6026,"[6, 1000, 20, 6]",6026.0,"[6, 1000, 20, 6, 0, 0, 0]"
six thousand twenty seven,6027,"[6, 1000, 20, 7]",6027.0,"[6, 1000, 20, 7, 0, 0, 0]"
six thousand twenty eight,6028,"[6, 1000, 20, 8]",6028.0,"[6, 1000, 20, 8, 0, 0, 0]"
six thousand twenty nine,6029,"[6, 1000, 20, 9]",6029.0,"[6, 1000, 20, 9, 0, 0, 0]"
six thousand thirty,6030,"[6, 1000, 30]",6030.0,"[6, 1000, 30, 0, 0, 0, 0]"
six thousand thirty one,6031,"[6, 1000, 30, 1]",6031.0,"[6, 1000, 30, 1, 0, 0, 0]"
six thousand thirty two,6032,"[6, 1000, 30, 2]",6032.0,"[6, 1000, 30, 2, 0, 0, 0]"
six thousand thirty three,6033,"[6, 1000, 30, 3]",6033.0,"[6, 1000, 30, 3, 0, 0, 0]"
six thousand thirty four,6034,"[6, 1000, 30, 4]",6034.0,"[6, 1000, 30, 4, 0, 0, 0]"
six thousand thirty five,6035,"[6, 1000, 30, 5]",6035.0,"[6, 1000, 30, 5, 0, 0, 0]"
six thousand thirty six,6036,"[6, 1000, 30, 6]",6036.0,"[6, 1000, 30, 6, 0, 0, 0]"
six thousand thirty seven,6037,"[6, 1000, 30, 7]",6037.0,"[6, 1000, 30, 7, 0, 0, 0]"
six thousand thirty eight,6038,"[6, 1000, 30, 8]",6038.0,"[6, 1000, 30, 8, 0, 0, 0]"
six thousand thirty nine,6039,"[6, 1000, 30, 9]",6039.0,"[6, 1000, 30, 9, 0, 0, 0]"
six thousand forty,6040,"[6, 1000, 40]",6040.0,"[6, 1000, 40, 0, 0, 0, 0]"
six thousand forty one,6041,"[6, 1000, 40, 1]",6041.0,"[6, 1000, 40, 1, 0, 0, 0]"
six thousand forty two,6042,"[6, 1000, 40, 2]",6042.0,"[6, 1000, 40, 2, 0, 0, 0]"
six thousand forty three,6043,"[6, 1000, 40, 3]",6043.0,"[6, 1000, 40, 3, 0, 0, 0]"
six thousand forty four,6044,"[6, 1000, 40, 4]",6044.0,"[6, 1000, 40, 4, 0, 0, 0]"
six thousand forty five,6045,"[6, 1000, 40, 5]",6045.0,"[6, 1000, 40, 5, 0, 0, 0]"
six thousand forty six,6046,"[6, 1000, 40, 6]",6046.0,"[6, 1000, 40, 6, 0, 0, 0]"
six thousand forty seven,6047,"[6, 1000, 40, 7]",6047.0,"[6, 1000, 40, 7, 0, 0, 0]"
six thousand forty eight,6048,"[6, 1000, 40, 8]",6048.0,"[6, 1000, 40, 8, 0, 0, 0]"
six thousand forty nine,6049,"[6, 1000, 40, 9]",6049.0,"[6, 1000, 40, 9, 0, 0, 0]"
six thousand fifty,6050,"[6, 1000, 50]",6050.0,"[6, 1000, 50, 0, 0, 0, 0]"
six thousand fifty one,6051,"[6, 1000, 50, 1]",6051.0,"[6, 1000, 50, 1, 0, 0, 0]"
six thousand fifty two,6052,"[6, 1000, 50, 2]",6052.0,"[6, 1000, 50, 2, 0, 0, 0]"
six thousand fifty three,6053,"[6, 1000, 50, 3]",6053.0,"[6, 1000, 50, 3, 0, 0, 0]"
six thousand fifty four,6054,"[6, 1000, 50, 4]",6054.0,"[6, 1000, 50, 4, 0, 0, 0]"
six thousand fifty five,6055,"[6, 1000, 50, 5]",6055.0,"[6, 1000, 50, 5, 0, 0, 0]"
six thousand fifty six,6056,"[6, 1000, 50, 6]",6056.0,"[6, 1000, 50, 6, 0, 0, 0]"
six thousand fifty seven,6057,"[6, 1000, 50, 7]",6057.0,"[6, 1000, 50, 7, 0, 0, 0]"
six thousand fifty eight,6058,"[6, 1000, 50, 8]",6058.0,"[6, 1000, 50, 8, 0, 0, 0]"
six thousand fifty nine,6059,"[6, 1000, 50, 9]",6059.0,"[6, 1000, 50, 9, 0, 0, 0]"
six thousand sixty,6060,"[6, 1000, 60]",6060.0,"[6, 1000, 60, 0, 0, 0, 0]"
six thousand sixty one,6061,"[6, 1000, 60, 1]",6061.0,"[6, 1000, 60, 1, 0, 0, 0]"
six thousand sixty two,6062,"[6, 1000, 60, 2]",6062.0,"[6, 1000, 60, 2, 0, 0, 0]"
six thousand sixty three,6063,"[6, 1000, 60, 3]",6063.0,"[6, 1000, 60, 3, 0, 0, 0]"
six thousand sixty four,6064,"[6, 1000, 60, 4]",6064.0,"[6, 1000, 60, 4, 0, 0, 0]"
six thousand sixty five,6065,"[6, 1000, 60, 5]",6065.0,"[6, 1000, 60, 5, 0, 0, 0]"
six thousand sixty six,6066,"[6, 1000, 60, 6]",6066.0,"[6, 1000, 60, 6, 0, 0, 0]"
six thousand sixty seven,6067,"[6, 1000, 60, 7]",6067.0,"[6, 1000, 60, 7, 0, 0, 0]"
six thousand sixty eight,6068,"[6, 1000, 60, 8]",6068.0,"[6, 1000, 60, 8, 0, 0, 0]"
six thousand sixty nine,6069,"[6, 1000, 60, 9]",6069.0,"[6, 1000, 60, 9, 0, 0, 0]"
six thousand seventy,6070,"[6, 1000, 70]",6070.0,"[6, 1000, 70, 0, 0, 0, 0]"
six thousand seventy one,6071,"[6, 1000, 70, 1]",6071.0,"[6, 1000, 70, 1, 0, 0, 0]"
six thousand seventy two,6072,"[6, 1000, 70, 2]",6072.0,"[6, 1000, 70, 2, 0, 0, 0]"
six thousand seventy three,6073,"[6, 1000, 70, 3]",6073.0,"[6, 1000, 70, 3, 0, 0, 0]"
six thousand seventy four,6074,"[6, 1000, 70, 4]",6074.0,"[6, 1000, 70, 4, 0, 0, 0]"
six thousand seventy five,6075,"[6, 1000, 70, 5]",6075.0,"[6, 1000, 70, 5, 0, 0, 0]"
six thousand seventy six,6076,"[6, 1000, 70, 6]",6076.0,"[6, 1000, 70, 6, 0, 0, 0]"
six thousand seventy seven,6077,"[6, 1000, 70, 7]",6077.0,"[6, 1000, 70, 7, 0, 0, 0]"
six thousand seventy eight,6078,"[6, 1000, 70, 8]",6078.0,"[6, 1000, 70, 8, 0, 0, 0]"
six thousand seventy nine,6079,"[6, 1000, 70, 9]",6079.0,"[6, 1000, 70, 9, 0, 0, 0]"
six thousand eighty,6080,"[6, 1000, 80]",6080.0,"[6, 1000, 80, 0, 0, 0, 0]"
six thousand eighty one,6081,"[6, 1000, 80, 1]",6081.0,"[6, 1000, 80, 1, 0, 0, 0]"
six thousand eighty two,6082,"[6, 1000, 80, 2]",6082.0,"[6, 1000, 80, 2, 0, 0, 0]"
six thousand eighty three,6083,"[6, 1000, 80, 3]",6083.0,"[6, 1000, 80, 3, 0, 0, 0]"
six thousand eighty four,6084,"[6, 1000, 80, 4]",6084.0,"[6, 1000, 80, 4, 0, 0, 0]"
six thousand eighty five,6085,"[6, 1000, 80, 5]",6085.0,"[6, 1000, 80, 5, 0, 0, 0]"
six thousand eighty six,6086,"[6, 1000, 80, 6]",6086.0,"[6, 1000, 80, 6, 0, 0, 0]"
six thousand eighty seven,6087,"[6, 1000, 80, 7]",6087.0,"[6, 1000, 80, 7, 0, 0, 0]"
six thousand eighty eight,6088,"[6, 1000, 80, 8]",6088.0,"[6, 1000, 80, 8, 0, 0, 0]"
six thousand eighty nine,6089,"[6, 1000, 80, 9]",6089.0,"[6, 1000, 80, 9, 0, 0, 0]"
six thousand ninety,6090,"[6, 1000, 90]",6090.0,"[6, 1000, 90, 0, 0, 0, 0]"
six thousand ninety one,6091,"[6, 1000, 90, 1]",6091.0,"[6, 1000, 90, 1, 0, 0, 0]"
six thousand ninety two,6092,"[6, 1000, 90, 2]",6092.0,"[6, 1000, 90, 2, 0, 0, 0]"
six thousand ninety three,6093,"[6, 1000, 90, 3]",6093.0,"[6, 1000, 90, 3, 0, 0, 0]"
six thousand ninety four,6094,"[6, 1000, 90, 4]",6094.0,"[6, 1000, 90, 4, 0, 0, 0]"
six thousand ninety five,6095,"[6, 1000, 90, 5]",6095.0,"[6, 1000, 90, 5, 0, 0, 0]"
six thousand ninety six,6096,"[6, 1000, 90, 6]",6096.0,"[6, 1000, 90, 6, 0, 0, 0]"
six thousand ninety seven,6097,"[6, 1000, 90, 7]",6097.0,"[6, 1000, 90, 7, 0, 0, 0]"
six thousand ninety eight,6098,"[6, 1000, 90, 8]",6098.0,"[6, 1000, 90, 8, 0, 0, 0]"
six thousand ninety nine,6099,"[6, 1000, 90, 9]",6099.0,"[6, 1000, 90, 9, 0, 0, 0]"
six thousand one hundred and,6100,"[6, 1000, 1, 100, 0]",6100.0,"[6, 1000, 1, 100, 0, 0, 0]"
six thousand one hundred and one,6101,"[6, 1000, 1, 100, 0, 1]",6101.0,"[6, 1000, 1, 100, 0, 1, 0]"
six thousand one hundred and two,6102,"[6, 1000, 1, 100, 0, 2]",6102.0,"[6, 1000, 1, 100, 0, 2, 0]"
six thousand one hundred and three,6103,"[6, 1000, 1, 100, 0, 3]",6103.0,"[6, 1000, 1, 100, 0, 3, 0]"
six thousand one hundred and four,6104,"[6, 1000, 1, 100, 0, 4]",6104.0,"[6, 1000, 1, 100, 0, 4, 0]"
six thousand one hundred and five,6105,"[6, 1000, 1, 100, 0, 5]",6105.0,"[6, 1000, 1, 100, 0, 5, 0]"
six thousand one hundred and six,6106,"[6, 1000, 1, 100, 0, 6]",6106.0,"[6, 1000, 1, 100, 0, 6, 0]"
six thousand one hundred and seven,6107,"[6, 1000, 1, 100, 0, 7]",6107.0,"[6, 1000, 1, 100, 0, 7, 0]"
six thousand one hundred and eight,6108,"[6, 1000, 1, 100, 0, 8]",6108.0,"[6, 1000, 1, 100, 0, 8, 0]"
six thousand one hundred and nine,6109,"[6, 1000, 1, 100, 0, 9]",6109.0,"[6, 1000, 1, 100, 0, 9, 0]"
six thousand one hundred and ten,6110,"[6, 1000, 1, 100, 0, 10]",6110.0,"[6, 1000, 1, 100, 0, 10, 0]"
six thousand one hundred and eleven,6111,"[6, 1000, 1, 100, 0, 11]",6111.0,"[6, 1000, 1, 100, 0, 11, 0]"
six thousand one hundred and twelve,6112,"[6, 1000, 1, 100, 0, 12]",6112.0,"[6, 1000, 1, 100, 0, 12, 0]"
six thousand one hundred and thirteen,6113,"[6, 1000, 1, 100, 0, 13]",6113.0,"[6, 1000, 1, 100, 0, 13, 0]"
six thousand one hundred and fourteen,6114,"[6, 1000, 1, 100, 0, 14]",6114.0,"[6, 1000, 1, 100, 0, 14, 0]"
six thousand one hundred and fifteen,6115,"[6, 1000, 1, 100, 0, 15]",6115.0,"[6, 1000, 1, 100, 0, 15, 0]"
six thousand one hundred and sixteen,6116,"[6, 1000, 1, 100, 0, 16]",6116.0,"[6, 1000, 1, 100, 0, 16, 0]"
six thousand one hundred and seventeen,6117,"[6, 1000, 1, 100, 0, 17]",6117.0,"[6, 1000, 1, 100, 0, 17, 0]"
six thousand one hundred and eighteen,6118,"[6, 1000, 1, 100, 0, 18]",6118.0,"[6, 1000, 1, 100, 0, 18, 0]"
six thousand one hundred and nineteen,6119,"[6, 1000, 1, 100, 0, 19]",6119.0,"[6, 1000, 1, 100, 0, 19, 0]"
six thousand one hundred and twenty,6120,"[6, 1000, 1, 100, 0, 20]",6120.0,"[6, 1000, 1, 100, 0, 20, 0]"
six thousand one hundred and twenty one,6121,"[6, 1000, 1, 100, 0, 20, 1]",6121.0,"[6, 1000, 1, 100, 0, 20, 1]"
six thousand one hundred and twenty two,6122,"[6, 1000, 1, 100, 0, 20, 2]",6122.0,"[6, 1000, 1, 100, 0, 20, 2]"
six thousand one hundred and twenty three,6123,"[6, 1000, 1, 100, 0, 20, 3]",6123.0,"[6, 1000, 1, 100, 0, 20, 3]"
six thousand one hundred and twenty four,6124,"[6, 1000, 1, 100, 0, 20, 4]",6124.0,"[6, 1000, 1, 100, 0, 20, 4]"
six thousand one hundred and twenty five,6125,"[6, 1000, 1, 100, 0, 20, 5]",6125.0,"[6, 1000, 1, 100, 0, 20, 5]"
six thousand one hundred and twenty six,6126,"[6, 1000, 1, 100, 0, 20, 6]",6126.0,"[6, 1000, 1, 100, 0, 20, 6]"
six thousand one hundred and twenty seven,6127,"[6, 1000, 1, 100, 0, 20, 7]",6127.0,"[6, 1000, 1, 100, 0, 20, 7]"
six thousand one hundred and twenty eight,6128,"[6, 1000, 1, 100, 0, 20, 8]",6128.0,"[6, 1000, 1, 100, 0, 20, 8]"
six thousand one hundred and twenty nine,6129,"[6, 1000, 1, 100, 0, 20, 9]",6129.0,"[6, 1000, 1, 100, 0, 20, 9]"
six thousand one hundred and thirty,6130,"[6, 1000, 1, 100, 0, 30]",6130.0,"[6, 1000, 1, 100, 0, 30, 0]"
six thousand one hundred and thirty one,6131,"[6, 1000, 1, 100, 0, 30, 1]",6131.0,"[6, 1000, 1, 100, 0, 30, 1]"
six thousand one hundred and thirty two,6132,"[6, 1000, 1, 100, 0, 30, 2]",6132.0,"[6, 1000, 1, 100, 0, 30, 2]"
six thousand one hundred and thirty three,6133,"[6, 1000, 1, 100, 0, 30, 3]",6133.0,"[6, 1000, 1, 100, 0, 30, 3]"
six thousand one hundred and thirty four,6134,"[6, 1000, 1, 100, 0, 30, 4]",6134.0,"[6, 1000, 1, 100, 0, 30, 4]"
six thousand one hundred and thirty five,6135,"[6, 1000, 1, 100, 0, 30, 5]",6135.0,"[6, 1000, 1, 100, 0, 30, 5]"
six thousand one hundred and thirty six,6136,"[6, 1000, 1, 100, 0, 30, 6]",6136.0,"[6, 1000, 1, 100, 0, 30, 6]"
six thousand one hundred and thirty seven,6137,"[6, 1000, 1, 100, 0, 30, 7]",6137.0,"[6, 1000, 1, 100, 0, 30, 7]"
six thousand one hundred and thirty eight,6138,"[6, 1000, 1, 100, 0, 30, 8]",6138.0,"[6, 1000, 1, 100, 0, 30, 8]"
six thousand one hundred and thirty nine,6139,"[6, 1000, 1, 100, 0, 30, 9]",6139.0,"[6, 1000, 1, 100, 0, 30, 9]"
six thousand one hundred and forty,6140,"[6, 1000, 1, 100, 0, 40]",6140.0,"[6, 1000, 1, 100, 0, 40, 0]"
six thousand one hundred and forty one,6141,"[6, 1000, 1, 100, 0, 40, 1]",6141.0,"[6, 1000, 1, 100, 0, 40, 1]"
six thousand one hundred and forty two,6142,"[6, 1000, 1, 100, 0, 40, 2]",6142.0,"[6, 1000, 1, 100, 0, 40, 2]"
six thousand one hundred and forty three,6143,"[6, 1000, 1, 100, 0, 40, 3]",6143.0,"[6, 1000, 1, 100, 0, 40, 3]"
six thousand one hundred and forty four,6144,"[6, 1000, 1, 100, 0, 40, 4]",6144.0,"[6, 1000, 1, 100, 0, 40, 4]"
